,compound,date,negative,neutral,positive,tn,tweet,user
0,-0.4767,Tue May 01 16:30:37 +0000 2018,0.237,0.763,0.0,0,"""You already stole my gas. Now you ruined my vehicle."" https://t.co/N73cBdPxEu",@cbcnews
1,0.7003,Tue May 01 16:00:47 +0000 2018,0.0,0.734,0.266,1,There is a disparity between popularity of Alberta's party leaders — Rachel Notley and Jason Kenney — and the popul… https://t.co/35cai5rdGr,@cbcnews
2,-0.7351,Tue May 01 15:45:04 +0000 2018,0.323,0.677,0.0,2,RT @CBCNL: BREAKING: MHA Pam Parsons goes to police with harassment complaints https://t.co/QyTrmeocAR #nlpoli https://t.co/bEE0GF4CdX,@cbcnews
3,0.1027,Tue May 01 15:30:37 +0000 2018,0.0,0.924,0.076,3,Israel's prime minister gave a PowerPoint presentation at the country's defence headquarters in Tel Aviv. But it se… https://t.co/c4MqETK9oQ,@cbcnews
4,0.0,Tue May 01 15:15:05 +0000 2018,0.0,1.0,0.0,4,RT @CBCBusiness: 'We're in the money' — CEO sings showtunes after buying grocery chain from Walmart https://t.co/23C6cG8BOa https://t.co/pv…,@cbcnews
5,-0.8779,Tue May 01 15:00:31 +0000 2018,0.408,0.502,0.091,5,"#Opinion: If Canada truly wants to decrease gun violence, we must start by considering all types of gun violence —… https://t.co/eIka4hXa4t",@cbcnews
6,-0.7351,Tue May 01 14:56:47 +0000 2018,0.256,0.744,0.0,6,RT @CBCNL: BREAKING: Liberal MHA Colin Holloway files harassment complaints against ousted cabinet ministers Eddie Joyce and Dale Kirby.  #…,@cbcnews
7,-0.7783,Tue May 01 14:30:20 +0000 2018,0.274,0.726,0.0,7,"Cathy Bennett says she was intimidated within the N.L. Liberal caucus and cabinet, and was subjected to bullying, i… https://t.co/NCpLwLGMeW",@cbcnews
8,-0.1027,Tue May 01 14:15:12 +0000 2018,0.146,0.73,0.124,8,RT @CBCPolitics: Emergency alert test will ping your cellphone next week https://t.co/QlPDP0RdgT #hw #cdnpoli https://t.co/9wMWLKRNih,@cbcnews
9,-0.5267,Tue May 01 14:00:06 +0000 2018,0.152,0.848,0.0,9,"Ashley Judd has sued Harvey Weinstein, saying the former movie mogul hurt her acting career in retaliation for her… https://t.co/YeZm2emFxO",@cbcnews
10,-0.6597,Tue May 01 13:30:00 +0000 2018,0.265,0.735,0.0,10,An abandoned highrise building occupied by squatters in downtown Sao Paulo has caught fire and collapsed.… https://t.co/cURp0lLae7,@cbcnews
11,0.0,Tue May 01 13:28:49 +0000 2018,0.0,1.0,0.0,11,"RT @thomasdaigle: Windsor, T minus 18 days https://t.co/gxU0LnbBgf",@cbcnews
12,0.0,Tue May 01 13:23:41 +0000 2018,0.0,1.0,0.0,12,"RT @CBCAlerts: UPDATE: Musicals ""Mean Girls"" and ""SpongeBob SquarePants"" each received 12 Tony nominations, while 11 nominations each went…",@cbcnews
13,0.4019,Tue May 01 13:13:24 +0000 2018,0.0,0.769,0.231,13,RT @CBCIndigenous: AFN Special Chiefs Assembly Opening Ceremonies LIVE https://t.co/Ah8UJR0O7h,@cbcnews
14,-0.2732,Tue May 01 13:00:38 +0000 2018,0.203,0.691,0.106,14,The rival Koreas have dismantled huge Cold War-era loudspeakers used to blare propaganda across their tense border. https://t.co/OQFtUglzTh,@cbcnews
15,-0.4767,Tue May 01 12:30:14 +0000 2018,0.14,0.86,0.0,15,Someone using the name of a paralyzed Humboldt Broncos player set up a fake Twitter account and sought money for a… https://t.co/1qjxp9Et6V,@cbcnews
16,0.0,Tue May 01 12:25:11 +0000 2018,0.0,1.0,0.0,16,"RT @CBCEnt: Could Harry Potter, Mean Girls and Frozen land Tony nods today? https://t.co/R66GUvWySu https://t.co/HFsgfwOiht",@cbcnews
17,0.0,Tue May 01 12:09:42 +0000 2018,0.0,1.0,0.0,17,"RT @CBCAlerts: Prince Louis of Cambridge's birth has been officially registered. Photo of his birth certificate, signed today by his father…",@cbcnews
18,0.0,Tue May 01 12:00:36 +0000 2018,0.0,1.0,0.0,18,A new book by the former Canadian commander in Afghanistan explores Operation Medusa and the politics that surround… https://t.co/tk1AvQEF4G,@cbcnews
19,0.0,Tue May 01 11:28:30 +0000 2018,0.0,1.0,0.0,19,7/7 Get the Morning Brief in your inbox each morning. Sign up here: https://t.co/euWkx8Bq21 https://t.co/YHlOxPDRTW,@cbcnews
20,-0.4215,Tue May 01 11:28:30 +0000 2018,0.219,0.781,0.0,20,6/7 Benjamin Netanyahu said Iran broke the nuclear deal. https://t.co/32yoVp0rF3 https://t.co/pbWr67hVHx,@cbcnews
21,0.0,Tue May 01 11:28:29 +0000 2018,0.0,1.0,0.0,21,5/7 Canada's government wants to change election law. https://t.co/32yoVp0rF3 https://t.co/hfDCdNsmxR,@cbcnews
22,0.0,Tue May 01 11:28:29 +0000 2018,0.0,1.0,0.0,22,4/7 Canada helped dig up evidence to extradite Hassan Diab. https://t.co/32yoVp0rF3 https://t.co/D1aNYwpfPZ,@cbcnews
